spec,bw_method,kernel,exclude_ohio_virginia,year,coef,se,p_value,n_treat,n_control,bw_left,bw_right,slope_coef,elevation_coef,ph_coef,pc_enslaved_coef
1,cerrd,uniform,TRUE,1850,0.006817629597735575,0.15239609777295762,0.9643175410216411,256,266,106.55293472071402,106.55293472071402,NA,NA,NA,NA
2,cerrd,uniform,TRUE,1850,-0.05465902837859619,0.16279971321421072,0.7370639158371797,204,213,83.8905221848244,83.8905221848244,0.022748097914164652,-0.001500810897498166,NA,NA
3,cerrd,uniform,TRUE,1850,-0.04387304821282748,0.2374312791264552,0.8533999553135091,160,226,89.33124098321424,89.33124098321424,-0.04724065933621339,-0.03493600902287987,-6.001540928096578e-4,NA
4,cerrd,uniform,TRUE,1850,-0.594658515279573,0.21041729405351728,0.0047119809741076836,145,211,82.84435806293311,82.84435806293311,-0.042284610626803165,-0.008499716794230443,-1.877580436483923e-4,0.038954130559834876
1,certwo,uniform,TRUE,1850,-0.03744466613683528,0.15492710658350625,0.8090187093891965,223,274,111.92244196935272,92.13979748208737,NA,NA,NA,NA
2,certwo,uniform,TRUE,1850,-0.013774828728667365,0.1510868613346556,0.9273562522150255,270,230,91.39518143421252,116.5435708041696,0.008541691802204807,-0.001127898646393725,NA,NA
3,certwo,uniform,TRUE,1850,-0.01723333225250229,0.20233997149954022,0.9321260955279103,208,241,95.82554118754155,112.90173529488511,-0.04921511043175745,-0.04467210816597266,-2.877965007757927e-4,NA
4,certwo,uniform,TRUE,1850,-0.46199720345850764,0.18709274173561952,0.013535927639661993,184,247,97.58271810088146,99.77567039728213,-0.04257494460264148,-0.012813478795345126,-3.983083193118035e-4,0.030471359307725633
1,cersum,uniform,TRUE,1850,-0.025682909521361985,0.15836730945013866,0.8711695821882511,223,231,91.65830129557379,91.65830129557379,NA,NA,NA,NA
2,cersum,uniform,TRUE,1850,-0.029664310508769463,0.15433263727489255,0.8475775390111575,233,244,97.12643482788405,97.12643482788405,0.017577885302233108,-0.001597071170804275,NA,NA
3,cersum,uniform,TRUE,1850,0.06143604577196034,0.21141198602108302,0.7713582635963494,193,263,104.2280801318631,104.2280801318631,-0.05439744157643754,-0.03287937646189314,-9.031293868526006e-4,NA
4,cersum,uniform,TRUE,1850,-0.5544053062693338,0.2108731068935969,0.008561258955731324,145,209,82.23139633833661,82.23139633833661,-0.04208535883709541,-0.008363828713596849,-2.1144812787814057e-4,0.0388742748552188
1,mserd,epanechnikov,TRUE,1850,-0.11453654579023231,0.13003196531787314,0.3784078005959981,386,364,166.4389615214744,166.4389615214744,NA,NA,NA,NA
2,mserd,epanechnikov,TRUE,1850,-0.08654165606378532,0.13551920963700098,0.5230875565688553,343,341,148.02456492182813,148.02456492182813,0.021422308498966258,-0.0015430772208614631,NA,NA
3,mserd,epanechnikov,TRUE,1850,-0.06652291744014402,0.18048285646256496,0.7124385491568481,283,340,147.3459867135767,147.3459867135767,-0.05370525857394401,-0.03613799237466145,-6.340784815448671e-4,NA
4,mserd,epanechnikov,TRUE,1850,-0.4412127409073225,0.17504368975559528,0.011715947726579709,235,300,123.56848578139872,123.56848578139872,-0.04290038639593244,-0.006660377103421614,-3.8069834324130474e-4,0.03229664270860743
1,msetwo,epanechnikov,TRUE,1850,-0.1466250635299189,0.12499480742165671,0.24077606130011261,364,420,202.9377682930517,156.17566607040598,NA,NA,NA,NA
2,msetwo,epanechnikov,TRUE,1850,-0.06995262255896506,0.13187239975512524,0.5957951937074386,472,316,134.23730986942266,213.10861407799547,0.01628664371421435,-0.0014285748188784184,NA,NA
3,msetwo,epanechnikov,TRUE,1850,-0.05965634055698984,0.16486755705757525,0.7174685904189223,346,333,143.68583693142548,177.1088192156875,-0.0544064159694895,-0.03857631669182213,-5.725061178836585e-4,NA
4,msetwo,epanechnikov,TRUE,1850,-0.4622751618039393,0.14676711464979633,0.001634275990724631,349,343,153.10820151842387,178.7409750178086,-0.04318560659192986,-0.017787076876325393,-1.764310880131583e-4,0.02438861485118081
1,msesum,epanechnikov,TRUE,1850,-0.0907237078025549,0.13218770122436885,0.49250826490161553,372,355,160.19508156957716,160.19508156957716,NA,NA,NA,NA
2,msesum,epanechnikov,TRUE,1850,-0.11769136297286628,0.13158518163767827,0.3711015044883241,370,354,158.94709008589504,158.94709008589504,0.019315068030843194,-0.0015060546007819023,NA,NA
3,msesum,epanechnikov,TRUE,1850,-0.09934458262927362,0.16512866601435913,0.5474276184857143,331,365,167.89434690847588,167.89434690847588,-0.055390340088944154,-0.03906655179281958,-6.11128363478392e-4,NA
4,msesum,epanechnikov,TRUE,1850,-0.41697374689999284,0.16174309501523096,0.009937391270487414,273,331,142.13572865106605,142.13572865106605,-0.04332597134110426,-0.011754746000556367,-2.780067585406715e-4,0.02898221269089464
1,cerrd,epanechnikov,TRUE,1850,-0.028944503540873523,0.15203517118319065,0.849011123166113,268,283,115.36207141595386,115.36207141595386,NA,NA,NA,NA
2,cerrd,epanechnikov,TRUE,1850,-0.04349962537223919,0.15687269254572536,0.7815554970724463,246,260,102.61889469269006,102.61889469269006,0.0369602828395085,-0.001783425783501283,NA,NA
3,cerrd,epanechnikov,TRUE,1850,-0.038462272342678336,0.23388849172632212,0.8693792276527356,189,260,102.34373387037341,102.34373387037341,-0.04707027294785827,-0.02011725514692482,-7.601499151883846e-4,NA
4,cerrd,epanechnikov,TRUE,1850,-0.7119614023631353,0.2274789356653941,0.0017493103649668371,153,219,85.82833170855021,85.82833170855021,-0.041596067354283575,0.011756037011523505,-5.3216107370679e-4,0.04218686390530431
1,certwo,epanechnikov,TRUE,1850,-0.07281787685208663,0.14769351221272384,0.6219887850030626,259,331,140.66010208671446,108.24838233759208,NA,NA,NA,NA
2,certwo,epanechnikov,TRUE,1850,-0.029364272019689677,0.15153071358663842,0.8463447871841673,342,233,93.06079955441872,147.73879212361788,0.011985289610962534,-0.0012041510552202627,NA,NA
3,certwo,epanechnikov,TRUE,1850,0.013737951047796222,0.20847160277168753,0.9474586915944796,232,251,99.80146309948127,123.01643406916249,-0.04807069589443383,-0.03160203587210912,-5.280449974866398e-4,NA
4,certwo,epanechnikov,TRUE,1850,-0.4710347898992012,0.17728584587701704,0.007885752018529766,237,265,106.34605922476236,124.15009860101007,-0.04142086744888433,-0.00900450601720875,-2.0400353221804553e-4,0.032688834084791646
1,cersum,epanechnikov,TRUE,1850,-0.023437865092454047,0.15399526204216568,0.8790302889047414,263,273,111.03431715493922,111.03431715493922,NA,NA,NA,NA
2,cersum,epanechnikov,TRUE,1850,-0.03278230136061913,0.15239706122486518,0.8296806902943665,263,273,110.19099909429102,110.19099909429102,0.03342014310754153,-0.001764605025307506,NA,NA
3,cersum,epanechnikov,TRUE,1850,-0.0018043688416476515,0.21260703239418674,0.9932285365065231,213,284,116.6162359870908,116.6162359870908,-0.049738903633567866,-0.026168428230317106,-7.741040356708936e-4,NA
4,cersum,epanechnikov,TRUE,1850,-0.5910710108549979,0.20211943480007483,0.003451597055608434,181,249,98.72478722351218,98.72478722351218,-0.04146932689828134,7.219039976481927e-4,-3.9846703195035453e-4,0.03832220187072259
